feature,importance
svc_steam,0.35490382
cargo_pier_depth_m,0.13325395
degaussing,0.108399056
lit_area_ratio,0.09357949
oil_terminal_depth_m,0.056853287
channel_depth_m,0.04921833
lifts_0_24_tons,0.029975489
shelter_afforded,0.026743386
sar_diff_median,0.017511597
anchorage_depth_m,0.010554932
cranes_mobile,0.009834045
eta_message,0.00976261
harbor_type,0.009706698
repairs,0.009309083
vh_median_mean,0.009099272
garbage_disposal,0.008649432
tidal_range_m,0.008473514
us_representative,0.0075867577
ent_restr_ice,0.0066950712
good_holding_ground,0.0066872723
tugs_salvage,0.0054608425
ntl_mean,0.0052608848
lifts_100_tons,0.005117627
ntl_std,0.004876982
pilotage_available,0.0039104447
dry_dock,0.0027175148
quarantine_sanitation,0.002344548
turning_area,0.0014229867
dirty_ballast_disposal,0.0012905704
comm_radio,0.00080051
svc_electrical_repair,0.0
lifts_50_100_tons,0.0
cranes_container,0.0
lifts_25_49_tons,0.0
cranes_floating,0.0
svc_longshoremen,0.0
svc_electricity,0.0
cranes_fixed,0.0
svc_nav_equip,0.0
max_vessel_draft_m,0.0
svc_ice_breaking,0.0
svc_diving,0.0
sup_provisions,0.0
sup_potable_water,0.0
sup_fuel_oil,0.0
sup_aviation_fuel,0.0
sup_deck,0.0
sup_engine,0.0
entrance_width_m,0.0
offshore_max_vessel_beam_m,0.0
offshore_max_vessel_length_m,0.0
lng_terminal_depth_m,0.0
max_vessel_length_m,0.0
max_vessel_beam_m,0.0
sup_diesel_oil,0.0
fac_container,0.0
chemical_tank_disposal,0.0
search_rescue,0.0
pilotage_advisable,0.0
pilotage_local_assist,0.0
pilotage_compulsory,0.0
first_port_of_entry,0.0
quarantine_other,0.0
quarantine_pratique,0.0
port_security,0.0
vessel_traffic_svc,0.0
medical_facilities,0.0
traffic_sep_scheme,0.0
underkeel_mgmt,0.0
overhead_limits,0.0
ent_restr_other,0.0
ent_restr_swell,0.0
ent_restr_tide,0.0
harbor_use,0.0
tugs_assistance,0.0
comm_telephone,0.0
comm_telefax,0.0
comm_radiotelephone,0.0
fac_other,0.0
fac_lng_terminal,0.0
fac_oil_terminal,0.0
fac_breakbulk,0.0
fac_liquid_bulk,0.0
fac_solid_bulk,0.0
fac_roro,0.0
fac_ice_mooring,0.0
fac_beach_mooring,0.0
fac_med_mooring,0.0
fac_dangerous_cargo,0.0
fac_anchorage,0.0
fac_wharves,0.0
comm_rail,0.0
comm_airport,0.0
offshore_max_vessel_draft_m,0.0
